Treatment,Locus,Number of alleles,Number of effective alleles,Shannons information,Heterozygosity-obs,Heterozygosity,uHe,Gen,Pop-size,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse8,AC3,2,1.083,0.168,0,0.077,0.078,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse8,AC4,5,1.9,0.93,0.28,0.474,0.483,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse8,AC7,4,2.269,1.051,0.2,0.559,0.571,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse8,AC8,4,3.425,1.301,0.36,0.708,0.722,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse8,AC9,6,2.934,1.39,0.44,0.659,0.673,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse8,AC12,2,1.574,0.551,0.08,0.365,0.372,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse9,AC1,4,2.688,1.091,0.44,0.628,0.641,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse9,AC2,2,1.268,0.367,0.08,0.211,0.216,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse9,AC3,3,1.691,0.714,0.44,0.409,0.417,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse9,AC4,9,3.634,1.587,0.28,0.725,0.74,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse9,AC7,5,2.948,1.289,0.76,0.661,0.674,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse9,AC8,4,3.602,1.329,0.28,0.722,0.737,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse9,AC9,5,2.475,1.138,0.32,0.596,0.608,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse9,AC12,3,2.073,0.812,0.36,0.518,0.528,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse10,AC1,4,2.189,0.972,0.28,0.543,0.554,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse10,AC2,1,1,0,0,0,0,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse10,AC3,3,1.331,0.489,0.04,0.249,0.254,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse10,AC4,6,3.582,1.441,0.36,0.721,0.736,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse10,AC7,4,2.784,1.147,0.64,0.641,0.654,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse10,AC8,4,2.828,1.119,0.24,0.646,0.66,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse10,AC9,6,2.809,1.37,0.4,0.644,0.657,35,60,,,,,,,,,,,,,,,,,,,,,,,,
